	0
RBM8A	0.033940606669080414
SRSF2	0.029048833510853824
PTBP1	0.02642375021255799
RBM4	0.026397200371186563
SRSF1	0.02581410104157546
TARDBP	0.0249697778535233
MBNL1	0.024549665008380805
HNRNPF	0.02331122990007592
HNRNPA1	0.022650044128045325
HNRNPH2	0.022648665350717506
SRSF7	0.022383970608532745
FUS	0.021242236106651116
HNRNPH1	0.02072411861351589
HNRNPA2B1	0.020671753804820277
YBX1	0.02017147446990171
PCBP2	0.020000606419374196
PCBP1	0.019933359725440705
BRUNOL5	0.01959960489401112
SRSF9	0.019109127914413156
HNRNPK	0.019101637041724816
PABPN1	0.018873298665770623
ZC3H10	0.018656209583754392
RBM24	0.018408476181409793
HNRNPM	0.018302235577837864
ZNF638	0.018032710533002566
HNRNPU	0.017958142183066298
U2AF2	0.017560424789658483
ESRP2	0.017231646288166966
BRUNOL4	0.017213216118270314
HNRNPA1L2	0.01719185055969882
HNRNPC	0.017178994345796245
BRUNOL6	0.017147748529397974
RBM42	0.016984666942610974
HNRNPL	0.016742116863237434
RBM5	0.01654688692591505
FMR1	0.015809032648516973
SRSF10	0.015393222843670184
RALY	0.01539129966413131
FXR2	0.014977490845201426
TIA1	0.014935643962609118
DAZAP1	0.014926469237473563
HuR	0.014683902143951193
ZCRB1	0.013779395597536477
KHDRBS3	0.01332357950944036
KHDRBS2	0.013200400231163622
FXR1	0.013127668353988632
QKI	0.013049548678485227
KHDRBS1	0.012900338437775542
SFPQ	0.012425400897496197
RBFOX1	0.012273007775065327
RBM28	0.011657056816289446
PABPC1	0.011527748010478575
SART3	0.01133433336166153
SNRPA	0.011251229191840661
SNRNP70	0.010372843527060298
RBM3	0.006940000534187671
